region,0,1,2,3,4
0,2382289,1079334,1141035,1359242,384878
1,1076048,6282064,1334889,1777230,1182559
2,1141251,1349372,3623554,1308268,440746
3,1358850,1782918,1305329,4939680,535819
4,384729,1189114,439093,537649,3503739
