,t,i,Ia_1,Ia_2,Ia_3,Ia_4,Ia_5,Ia_6,Im_1,Im_2,Im_3,Im_4,Im_5,Im_6,Ip_1,Ip_2,Ip_3,Ip_4,Ip_5,Ip_6,y
4,1,4,0.3845061135399303,2.218474337496226,0.3538061916997909,1.5311170270623793,2.7261149816333656,0.9254330554237872,0.32229772238694504,1.9005901531481286,0.30311092783309035,1.3117276911519558,2.3354942567821593,0.7671462065849587,2.3075398531444518,13.541674031314596,2.1719768075256614,9.377336418828556,16.665995554463464,5.501879872731088,9.429124806030766e-06
5,1,5,1.5347486336023184,1.0129010708414583,0.519767198185197,4.161012268027956,0.06657531985922098,15.397310706998283,1.2864450567315497,0.8677629345612141,0.4452921441035763,3.564792839948545,0.057035847065220066,12.763741722057457,9.210500202433227,6.18279684171819,3.1907929432980278,25.48414731892421,0.4070055710364686,91.54001294477995,2.0762738894622942e-05
0,2,0,33.011622155927796,3.0022832758912896,1.5265596452115084,13.97917312364784,0.04068590794378645,1.8602747133052957,28.056092784270486,2.5727164056256497,1.3081284596602525,11.978973262778146,0.034864486729904436,1.574386621552058,125.5987539935329,11.415824198338278,5.8649860355927235,53.47889260165129,0.15513866434446882,7.069987920119081,3.8952488026448615e-05
1,2,1,1.5798962522720297,49.39027239904409,0.6487071250747308,8.962986815991947,0.10499599286894983,0.7305168294377186,1.3427306187468233,42.32350927699118,0.5558854218087652,7.680524339581485,0.08997295587283785,0.6182505814111023,6.011004239268721,187.80062206093527,2.4923089259480937,34.2889100151132,0.4003582301202619,2.776334657794576,2.3313528364034496e-05
2,2,2,2.736252807276076,2.1845244225492544,22.191935549374016,5.636847365117037,0.04741179111157838,1.3828874788543646,2.325501069882235,1.8719625378167906,19.01655304340242,4.830303142814091,0.04062801706021826,1.1703645328553465,10.410574239032659,8.306393658804673,85.26060053278755,21.564390982542726,0.18078500195674127,5.255674175677383,2.0314228023376184e-05
3,2,3,6.036141936303322,7.473299548482877,1.3401362127602505,41.721497253661184,0.04948015465203873,2.3711200015713083,5.1300283707367695,6.40401940314204,1.1483798390924316,35.75180703923226,0.04240043500179724,2.0067249110404473,22.96560594771235,28.416330501549417,5.1487540616482,159.61026099849911,0.18867183976528085,9.011459247584114,3.507217696832065e-05
4,2,4,1.0297576759413185,4.97712884761785,0.6947559211794653,2.8755216511111015,4.480334766400468,2.3417931673010193,0.8751759233478474,4.265000955107334,0.5953452234003036,2.464079718487025,3.839279492656724,1.9819050415892412,3.9179014106788244,18.924939026619917,2.6692267076785976,11.000630165553387,17.08387956920617,8.900002395247567,1.0301277093776383e-05
5,2,5,2.6550705148119773,2.028428280965848,1.1138005164221323,7.800303993680249,0.139487552601022,25.81845071881581,2.256505431950412,1.7382006414856481,0.9544298897762411,6.684203146734789,0.11952939414217693,21.850656309079135,10.101701359909436,7.7128566915689385,4.279180637155312,29.840936645428908,0.5318773427177809,98.12321448690305,2.29333135786607e-05
0,3,0,47.61566460036555,3.1588884721270887,1.6471607995818278,17.337419983302468,0.05685007396041806,2.050767004511397,40.62713054504477,2.7061329435699015,1.4110946487841587,14.852597947025872,0.0487020575214072,1.7461995346262702,148.5693705945433,9.777869188768886,5.17085457603251,54.1119946601373,0.17664646677702384,6.41263797429308,4.286373165560765e-05
1,3,1,1.884724887707117,66.80834758620901,0.8763531365378606,11.884048612964849,0.12467657401611225,0.9122799181431545,1.608104490340014,57.232875393910156,0.7507568306189257,10.180810997326695,0.10680734880894481,0.7767936411138096,5.88067797983372,206.79529814988476,2.7510942631937763,37.09142281290418,0.38739925483904114,2.8526501710824967,2.538331003251291e-05
2,3,2,3.886209227071346,3.7452408549478875,28.921078826631682,8.467402612526977,0.06381134155058879,2.030524757602002,3.3158316893968753,3.2084449161808286,24.77619645858833,7.253843235070789,0.05466560393357989,1.7289635433824004,12.125666284625668,11.592835734227238,90.79058512833201,26.42769485861044,0.1982767521650295,6.349341558400564,2.239436070530733e-05
3,3,3,9.039150531084074,9.940007047585286,1.8968017714536411,54.60919147051672,0.06230885564820935,3.3114155555629012,7.7124776420708425,8.515330872911342,1.6249578245075151,46.78252969039757,0.05337846128370866,2.819624213456568,28.20376269834072,30.767812635462846,5.954540760220651,170.4412928851563,0.19360817730578816,10.354618098279174,3.8466235454158355e-05
4,3,4,1.1494265356557025,5.865058098556117,1.107515342088552,3.8231683433887658,6.118317819766135,2.875309161749105,0.9807256143110575,5.024434093352697,0.9487895614467453,3.275226783618238,5.24141211495989,2.448285694624377,3.5864159070400348,18.154414560130146,3.4767709237122983,11.932528898850158,19.01104343739439,8.990936892344878,1.1253907134755605e-05
5,3,5,3.2953495390005947,2.736447977782583,1.4292812319185042,9.935994403006468,0.22039213008960054,35.01441520969721,2.811692266319905,2.34423978129759,1.2244409279773163,8.511954501528086,0.18880450717377134,29.814286757042694,10.282078618610276,8.470267502230692,4.486875477111566,31.01133136282405,0.6848098581700395,109.48819057817138,2.5330239143501723e-05
0,4,0,44.09836088402822,3.613533469611596,11.868850351043973,16.644771025956906,0.03655876631380257,2.4380115364082737,37.706175728082606,3.0965422877229756,10.17057245068296,14.263232559627523,0.03132811399349915,2.0823096947288944,124.22366291205756,10.054761978308354,33.59028877276197,46.77929388471524,0.10219757922817137,6.895133378142169,4.7166496505852534e-05
1,4,1,2.00245552941004,81.15351056063838,0.9506827974445259,15.48299914469429,0.12104346498635304,0.9632644227053552,1.7121937996328673,69.54281158912319,0.8146524712207721,13.267687322156643,0.10372514861993352,0.8227257402324679,5.640852759493678,225.81200347344742,2.690547841868269,43.51419229960899,0.3383688879655888,2.7242843496784377,2.7636057228757182e-05
2,4,2,3.1985841806897004,1.9185832867255443,39.17660067106131,7.976753923689977,0.07336950424554657,1.5781417155435993,2.7349401379186604,1.644090010463568,33.57093936747265,6.835437754420572,0.0628721487186291,1.3478934553253963,9.010308662101494,5.3385137970395995,110.87454056242102,22.418266701322597,0.20509952821452296,4.463267484908644,2.468683207848432e-05
3,4,3,9.576857375992978,12.382588943303363,2.1232041525099348,68.71943237921523,0.07025264833871409,3.8834404210667977,8.18866415673883,10.611001839855984,1.8194012917850795,58.88703688754981,0.06020123755296174,3.3168529011977856,26.977698911777146,34.4549138806041,6.008925759188034,193.1325169835622,0.19638656657497647,10.983065202707087,4.218760404775387e-05
4,4,4,1.0916247213491455,6.282377626085002,1.028322516175674,4.402566675770768,7.774448012076896,2.621656031853165,0.9333905557296578,5.383552733139036,0.8811829574136771,3.7726462117056756,6.662117410316537,2.2391607627151684,3.0750716963826976,17.480898466653535,2.9102776805030515,12.373192761364201,21.732947984340417,7.4145129099222435,1.229440370683384e-05
5,4,5,4.35719872974953,2.8683798218165064,1.5106810609942698,11.964555043738583,0.18986226429187136,43.618987081495824,3.725610151773663,2.457998380311336,1.294522276908258,10.25266318143881,0.16269768535799747,37.255049173337014,12.274088546481329,7.981350280629196,4.275410977599574,33.625781677505685,0.530747225736741,123.3623095112411,2.79769953436416e-05
0,5,0,51.36059880456243,4.176049514177274,13.857399467006541,19.351555893839045,0.04236723119886076,2.8469011909858435,43.946535440993074,3.5775464615282657,11.871712782791889,16.578397108964626,0.0362955153604516,2.434461886584844,136.69509233959934,10.947485094276836,37.03002112288847,51.30584995092502,0.11164936141979419,7.61579019775876,5.1899718968873124e-05
1,5,1,2.332225348249997,93.7866166732811,1.1099635517302893,18.00085581745565,0.1402748774991314,1.124817742361549,1.9955613117607636,80.34530660595073,0.9509120753055753,15.421257994971123,0.12017185987580171,0.9618619472301942,6.207165935679624,245.8609708979172,2.9660668918486284,47.72480376384856,0.36966306394926773,3.009017651777301,3.0087796947451714e-05
2,5,2,3.7253357166507293,2.2172477077678865,45.740386743568756,9.273939495170207,0.08502646732210119,1.8428188146084061,3.187571833505289,1.8994762069576194,39.18604896152075,7.944945231219942,0.07284118795134392,1.5758440026828229,9.914898222299207,5.81249962403535,122.22837995802716,24.58755000390655,0.22406823650417973,4.929753624389104,2.721317472122675e-05
3,5,3,11.154000276573527,14.310177275456931,2.478933276696787,79.89463685655146,0.08141440465880362,4.5347493212215095,9.54388538826268,12.259271328524743,2.123716209431515,68.44540170054856,0.06974677578021872,3.877786283094485,29.68612386245571,37.51403135611231,6.624255280860615,211.82081032310643,0.21454945327587432,12.130979304516263,4.6267614535848196e-05
4,5,4,1.2713964472693633,7.260350638487486,1.200611303209346,5.1185152964658,9.009654033288012,3.061345513743348,1.0878663864898794,6.219811725889603,1.028570518545772,4.385010676073634,7.718466066915246,2.6178390027983025,3.383793390358327,19.03295928945037,3.2082976336269713,13.570473568773657,23.742927988575488,8.189453581789337,1.3430826730537976e-05
5,5,5,5.07475405852256,3.3148983569979884,1.7637859026167202,13.910239757143808,0.22002762287292973,50.93451955311476,4.342197409648856,2.8398137634966236,1.5110453946324964,11.916844301302765,0.18849511142759812,43.55547953549786,13.50634515127335,8.689983255485348,4.713224107138977,36.879550030838864,0.5798335858477925,136.2557351721211,3.089947009103923e-05
0,6,0,58.37500684270754,4.705069247331541,15.783223659551417,21.942270348462824,0.04787544516254184,3.245473475293008,49.98063931629328,4.031455862156845,13.523221611321933,18.80056195457398,0.041020943836082915,2.777762902198448,150.41452021482095,11.919134524311936,40.82091401978564,56.2688405899227,0.12197310424252246,8.41156015019738,5.7106153611380694e-05
1,6,1,2.650741498962737,105.667455431898,1.264220103679642,20.410743560731536,0.1585121806490041,1.282294643358954,2.2695629850180965,90.53930138896952,1.0831962466173461,17.488320158234572,0.13581741616525578,1.0975010324768453,6.8301492769726995,267.6824824308012,3.2697135431620623,52.341387536547785,0.40384423932495955,3.323428339501665,3.2755932753280295e-05
2,6,2,4.234111420281013,2.4981274690633803,52.09713092034266,10.515500082507426,0.09608085915591695,2.1008174085983677,3.625243184849417,2.1404766009091962,44.63733530909549,9.009884011312367,0.08232461366732503,1.7980651224919892,10.910008790812217,6.328390890215354,134.74132711094498,26.965987952444536,0.24478687581384712,5.444861013819121,2.999707393994257e-05
3,6,3,12.677321869750127,16.122982927773034,2.8234416158937434,90.59063420615388,0.09199918794288245,5.169623970697398,10.854313963094505,13.814694454601126,2.4191526079815544,77.61980888255074,0.07882733014298829,4.4246208737918025,32.66557709852387,40.84360768086484,7.302403484128214,232.310963001291,0.23438793108005096,13.39853901578952,5.0740550584313376e-05
4,6,4,1.4450333141861713,8.180087998961707,1.3674655747534759,5.8037631203365745,10.181009837049553,3.4899404640456626,1.2372364952517243,7.008964583268602,1.1716579839539927,4.972776580578563,8.72335768998715,2.9869993471544434,3.7234084311700304,20.722238962929328,3.5367422939766486,14.883191969365612,25.938335819803388,9.045165322535116,1.4671966825606898e-05
5,6,5,5.76782221754387,3.7348279192072336,2.0089070431175964,15.772491009901634,0.2486336750129812,58.065461741291976,4.93840527800428,3.200121638501802,1.7212513569231676,13.514175593520129,0.21303588893720257,49.69755160590932,14.86191194587629,9.461266998234732,5.195733359022546,40.447035254231025,0.6334483378190625,150.4930259957729,3.4126200381377674e-05
0,7,0,65.46141248014807,5.227464486094374,17.733730396798112,24.53971658526646,0.053354252554673715,3.6512694332977924,56.06784702478412,4.479284427792582,15.195331525083352,21.027258811122522,0.045717715922622484,3.1266598815810918,165.50597246427256,12.976625938963975,44.99858509574345,61.710025511798655,0.1332488246721616,9.2902264692501,6.283273614013074e-05
1,7,1,2.97252697733127,117.39951987305665,1.4204537022637695,22.82689322119273,0.17665212074009268,1.4426256358035219,2.5459760418795754,100.59673147403849,1.2171305438266464,19.559598007095975,0.1513680931964797,1.2353510969288717,7.515434657153059,291.4318516862555,3.6043407317966647,57.402788583167805,0.44117734458638186,3.6705915878839392,3.565935791128965e-05
2,7,2,4.748109322141284,2.7754899959595547,58.5353470315271,11.76028677429708,0.10707623516962522,2.363491936492433,4.066766313841795,2.3782484130627304,50.15662154424395,10.076994688872478,0.09175052909854756,2.023908548320102,12.004636333901084,6.889859428162848,148.53094840004024,29.573593254278446,0.2674160315909572,6.013627794218814,3.306457631894105e-05
3,7,3,14.216279208247947,17.913088253194104,3.1723653853855813,101.31442432320134,0.1025274624949061,5.816005008066452,12.17627511706057,15.349280225556367,2.7182743095235242,86.8129268788256,0.08785281735146058,4.9803691187401276,35.942993376414435,44.46734096265899,8.049741963757294,254.77538373249558,0.25605576350387155,14.798142032051823,5.564391617754058e-05
4,7,4,1.620452432363413,9.088308218194854,1.5364583530377436,6.490791510599483,11.346112151298883,3.926303215048954,1.38792115303415,7.7875454888369395,1.316530336623785,5.561741208712916,9.722155354491212,3.3621771741803954,4.09698699568598,22.560760858203498,3.898697589183939,16.32239346852713,28.336187583358285,9.990017642112091,1.6027409877794422e-05
5,7,5,6.468004197621248,4.14949903668311,2.2571698065823935,17.639581186445657,0.2770870086993663,65.32564422427173,5.539860143070801,3.5556026191278503,1.9340794492748379,15.11476457514976,0.23742784394900468,55.93974226382749,16.35304348122554,10.300691085776986,5.72747218686596,44.358254963977835,0.6920070373637224,166.21343348661256,3.7688635975666914e-05
0,8,0,72.83794681003897,5.760478112007427,19.769030659229244,27.225842978509256,0.05898064060443709,4.076548250101969,62.39777224412482,4.935594766145953,16.9398939148883,23.328564640305697,0.050536183698889944,3.4919314168938826,182.10561907053946,14.12746939368615,49.602214538534064,67.67509512427343,0.14556380029571686,10.260368816410322,6.913097842228061e-05
1,8,1,3.307486863836326,129.37005433282144,1.583479175658285,25.325533339717758,0.19528068985140998,1.6106543542242748,2.833410619993605,110.84464703201148,1.3568682104078411,21.70027727083337,0.16732169596737786,1.3796707891613915,8.269205397530191,317.2777411022116,3.973086750798008,62.95150821193057,0.4819513495925306,4.053897242522488,3.881857684991924e-05
2,8,2,5.283151113784139,3.0584902899581277,65.2534488921641,13.047572085306332,0.11836778965920751,2.638777853524823,4.525894459778508,2.620523570076554,55.91505829840939,11.179860584349232,0.10142067466454854,2.260351337359161,13.208657662028843,7.500892655455682,163.72656945712814,32.4322623439397,0.2921308605471825,6.641607639763128,3.644431701838535e-05
3,8,3,15.818243902406628,19.739579881503392,3.536457765101047,112.40433843223978,0.11333933337928928,6.493419746568425,13.550947322808765,16.91293070725975,3.0303569460714463,96.31407472074105,0.0971121594012425,5.562199936074404,39.54794478170991,48.4109661034682,8.87327961571617,279.40270946936056,0.2797206663169304,16.34345465624923,6.101872647691464e-05
4,8,4,1.8030534876172846,10.014989237201586,1.7127976803637548,7.201275934047368,12.542598406146645,4.383616381391306,1.5446141165639211,8.580872542351301,1.4676800043042677,6.170440021001706,10.746832360900916,3.7549629791351267,4.507899878564206,24.56158172561062,4.297558108285054,17.900163247010738,30.955043398500436,11.03323646950769,1.750760698279864e-05
5,8,5,7.196852739105146,4.572598903386874,2.516225188439233,19.570416223844123,0.3063067795675505,72.93439871094812,6.1652970430420675,3.9178163298977013,2.1561293769470176,16.768983802485486,0.26245180658950995,62.47489361242171,17.993194218286465,11.21421691066702,6.313427490485376,48.64605223117297,0.7559629470494563,183.57045820780618,4.1621427681273134e-05
0,9,0,98.78962162792048,8.503038829395546,4.655849175757472,41.34991750702136,0.11757829403446614,5.66931245684458,84.61905638820932,7.284588588542445,3.988582153510427,35.42413084361207,0.10072912600156446,4.855707451022314,245.31641364913986,20.701629944377846,11.602506563134574,102.06419889100594,0.28811424824965864,14.17535643421668,7.605739785674528e-05
1,9,1,4.727951635824024,139.88267109099456,1.978489699410806,26.512209426094778,0.3034281486121156,2.226299229594584,4.049765547026331,119.83806378039695,1.6949364998900085,22.712789584253755,0.25994638266321396,1.906802251531647,11.740546426783075,340.5605161469954,4.930451751322754,65.44021316234695,0.7435213587087689,5.566563026637284,4.2255835382075656e-05
2,9,2,8.188430675485586,6.186989794687109,67.68311029321124,16.673602328664597,0.13701543845893704,4.214442713331015,7.013867101035916,5.300419786394194,57.982901854989706,14.284136611026508,0.1173808948158765,3.6096265712646916,20.333678919132552,15.06294111658898,168.6682067536226,41.155532269523775,0.3357430925015994,10.537649510026318,4.016776718081699e-05
3,9,3,18.06358303639893,21.165809620542632,4.087276970247736,123.41076646299706,0.14299280676214476,7.226147872373648,15.472509422975081,18.132836780192292,3.5014965830227958,105.72497848280655,0.1225016961501353,6.189120873680517,44.855859705919045,51.53060770731232,10.18560870046501,304.6153843337657,0.35039005595120687,18.0680148637045,6.690982254945015e-05
4,9,4,3.0816229112940565,14.09617812883946,2.1189337692258094,8.505695008666612,12.947729205515413,7.136772370110891,2.639589246329201,12.076254195666781,1.8152524056000252,7.2867582589905115,11.09229775177882,6.112571680885158,7.652349187700729,34.31877345360907,5.280442307345608,20.994647617455943,31.727159313042176,17.844543391509994,1.912395014973982e-05
5,9,5,7.945486905030022,5.744895751243293,3.396976484088666,23.07303327710708,0.40310538225006576,78.68346714047318,6.805771632376552,4.9216759880241305,2.9101285863982715,19.76647594589443,0.345339700443971,67.39157535848955,19.73039596790284,13.986612115673648,8.465360552630075,56.9512782465305,0.9877707881892244,196.73747049337487,4.5962742153341764e-05
0,10,0,117.31115331541635,7.313835182306604,4.120827086971495,42.00794118812556,0.13443978092867234,5.161590653361832,100.44243168291632,6.263952417176541,3.528468235296572,35.972953851460055,0.11513398505665697,4.418867375253995,290.1204675383201,17.727483151280186,10.227207234790702,103.24992071461959,0.32801148000034075,12.854865353683243,8.367398343185018e-05
1,10,1,4.643414139335421,154.68265098918167,2.1924391010971496,28.794619712220822,0.2948367544663838,2.2961240786392,3.975715814605283,132.47834294966776,1.8772813230872105,24.657897930281347,0.2524976628822085,1.965724998751201,11.483558408601919,374.9242389054316,5.441269085876085,70.77333756920267,0.7193543423157277,5.718463134427834,4.599526009111985e-05
2,10,2,9.574489619730151,8.671428121894099,72.35405616954827,20.51621009964482,0.1509018754276175,5.110642792283157,8.197728795171244,7.426666282542725,61.953336915366926,17.568789572815376,0.1292320929898171,4.375250619048638,23.67852779904319,21.018055793805093,179.5707296390075,50.42611006967387,0.3681763474466015,12.72798045749374,4.426950282819706e-05
3,10,3,22.26983877454879,23.01428932945246,4.745372838162529,132.3160946573312,0.147348777577561,8.33452632278074,19.067554077215146,19.71064560267537,4.063237056714544,113.30716603314649,0.12618922642199457,7.13523580796629,55.0752068723038,55.78269350580134,11.777225881589342,325.2153258703214,0.3595073591729492,20.75701481602257,7.336621141583742e-05
